question,document,score,reasoning
Can I still join the course if I found it late?,74eb249bbf,good,"The AI answer preserves the key meaning of the original: late joiners can still participate, and certificate eligibility depends on submitting the project before submissions close. This is semantically equivalent."
Am I allowed to enroll after the course has already started?,74eb249bbf,bad,"The ground truth says yes, late enrollment is allowed, with the condition that to receive a certificate the project must be submitted while submissions are still being accepted. The AI answer says 'I don't know,' which does not convey the correct answer and misses the key information."
"If I join now, can I still get a certificate?",74eb249bbf,bad,"The AI answer preserves the key point that a certificate is still possible if the project is submitted while submissions are open. However, it adds extra conditions about completing required peer reviews and only being able to get the certificate through a live cohort, which are not present in the ground truth. These additions change the meaning and may be inaccurate relative to the original answer, which only states the submission timing requirement."
What do I need to do to qualify for the certificate if I join late?,74eb249bbf,good,"The AI answer preserves the key point that late joiners can still qualify for a certificate if they submit their project while submissions are still open. It adds an extra requirement about peer reviews and homework, which is not in the ground truth, but the main condition matches the original answer. Since extra detail is allowed and the core answer is correct, it is semantically equivalent enough."
"Is it too late to participate, or can I still submit the project?",74eb249bbf,good,"The AI answer conveys the core idea that participation is still possible while submissions are open and that once closed, submission is no longer possible. However, it introduces extra specifics about a capstone project and attempt windows that are not present in the ground truth. These additions do not contradict the original answer, and the main point about timely submission for a certificate is effectively preserved, though the certificate mention is omitted."
"Do I actually need a confirmation email after registering, or can I just start the LLM Zoomcamp right away?",977bf7786c,good,"The AI answer matches the ground truth: it says no confirmation email is needed, the user is accepted, they can start right away, and they can learn/submit homework while the form is open without registering. It omits the explicit detail that registration is only to gauge interest and that it is not checked against a registered list, but the core answer is preserved."
"If I signed up for the course, does that mean I’m already accepted?",977bf7786c,good,"The AI answer preserves the core meaning of the ground truth: registering implies acceptance, no separate confirmation is needed, and registration is only for gauging interest while the form is open. It is semantically equivalent."
Can I begin watching the lessons and submitting homework even if I never got any email back?,977bf7786c,good,"The AI answer preserves the core meaning of the ground truth: the user does not need an email response, is considered accepted, and may begin watching lessons and submitting homework while the form remains open. It omits the extra detail that registration is only for gauging interest and that no registered list is checked, but that is not necessary for equivalence."
"Is registration for the LLM Zoomcamp used to approve students, or is it just for something else?",977bf7786c,good,"The AI answer matches the ground truth: registration is only to gauge interest, not to approve students, and students can start learning and submit homework while the form is open without needing confirmation. This preserves the key meaning, though it omits the explicit statement that everyone is accepted and that the form is not checked against a registered list."
"Will my homework submissions be checked against a registration list, or can I submit while the form is open without that?",977bf7786c,good,"The AI answer preserves the key point: submissions are allowed while the form is open and are not checked against a registration list. It also correctly notes registration is only to gauge interest. This is semantically equivalent to the ground truth, though slightly less detailed."
How do students join the Office Hours or live workshop if the Zoom link isn’t public?,489dd1c9d9,good,"The AI answer preserves all key points from the ground truth: the Zoom link is only for instructors/presenters/TAs, students watch via YouTube Live, the video URL is posted in Telegram/Slack announcements, questions are submitted through Slido, and chat questions may be missed. This is semantically equivalent."
Where do I find the live stream link for Office Hours before it starts?,489dd1c9d9,good,"The AI answer correctly identifies where the live stream link is posted before the office hours start and mentions the DataTalksClub YouTube channel. It omits the extra details about the Zoom link being restricted to instructors/presenters/TAs and using Slido for questions, but those are not essential to the asked question. The core answer matches the ground truth."
"Can I watch the workshop live on YouTube instead of Zoom, and where should I send questions?",489dd1c9d9,good,"The AI answer correctly says students can watch live on YouTube instead of Zoom and that questions should be submitted via Slido rather than chat. It omits some extra details from the ground truth (Zoom link is for instructors/presenters/TAs, and the YouTube/announcement channel details), but it captures the key information asked in the question."
"Is the Zoom URL for live sessions shared with students anywhere, or only with the teaching team?",489dd1c9d9,good,"The AI answer correctly states that the Zoom link is only for the teaching team and that students use YouTube Live and Slido for questions. It omits some extra details from the ground truth (Telegram/Slack announcements, YouTube channel, and chat warning), but those are supplementary, not key to the question asked."
"Should I ask questions in the chat during Office Hours, or is there another place to submit them?",489dd1c9d9,bad,"The AI answer captures the key point: do not ask questions in the live chat because they may be missed, and instead use Slido during the live session. However, it incorrectly says to ask questions in Slack, while the ground truth says students participate via YouTube Live and submit questions to Slido, with the video URL posted in Telegram/Slack announcements and no mention of asking in Slack. This makes the answer semantically not fully equivalent."
Where should I begin if I want to start LLM Zoomcamp from scratch?,04919992b3,good,"The AI answer matches the ground truth: it names the same starting resources, says you can begin whenever you want, gives the same typical workflow, and references the course platform. The extra offer to point to Module 1 is harmless."
"Do I need to wait for a specific date, or can I start the course anytime?",04919992b3,good,"The AI answer preserves the core message: students can start anytime and do not need to wait for a specific date. It also correctly mentions that materials are available and deadlines are on the course platform. It omits the suggested workflow and reference links, but those are extra details not necessary to answer the question."
"What's the usual weekly routine for watching lessons, doing notebooks, and homework?",04919992b3,good,"The AI answer matches the ground truth's core workflow exactly: watch videos, work through notebooks/code, read homework instructions, and submit before deadline. It also correctly states that homework is similar to the lesson flow but with a different dataset or task. It omits the introductory links and note that students can start whenever they want, but those are extra details not essential to the asked question about the weekly routine."
Where do I find the deadlines and submit my homework answers?,04919992b3,good,"The AI answer correctly identifies the course management platform as the place for deadlines and homework submission, which matches the ground truth. It also mentions the GitHub repo for homework instructions, consistent with the original. It omits some extra context about docs and workflow, but that is not required for equivalence."
"Are the homework tasks exactly the same as the lesson exercises, or do they change a bit?",04919992b3,good,"The AI answer correctly states that homework is similar to the lesson flow but not identical, and that it often uses a different dataset or slightly different task. This matches the ground truth key point. It omits the extra logistics details, but those are not necessary to answer the question."
How do I find my own entry on the leaderboard if I can’t see my name right away?,c2903069a0,good,"The AI answer correctly says to click the “Jump to your record on the leaderboard” link to locate your entry, and it also mentions using “Edit Course Profile” to check the display name. This matches the core of the original answer. It omits some extra details about the random assigned name and certificate/legal name, but those are not necessary for answering the question asked."
Why do I show up with a random name on the leaderboard instead of my actual name?,c2903069a0,good,"The AI answer captures the core idea: users are assigned a random display/leaderboard name by default, and can change it in Edit Course Profile. It also correctly distinguishes the first field as the leaderboard/display name and the second as the certificate/official name. This is semantically equivalent to the original answer, though it omits the specific instruction to click 'Jump to your record on the leaderboard' to locate the entry, which is not essential to the main question."
Where can I check what display name I’m using in the course?,c2903069a0,good,"The AI answer correctly identifies that the display name can be checked by clicking “Edit Course Profile” and notes that the first field is the display name/nickname. This matches the key information from the ground truth, though it omits the extra details about the official name and certificate, which are not necessary for the question asked."
