question,answer_llm,answer_orig,document
Can I still join the course if I found it late?,"Yes, you can still join the course if you found it late. If you want to receive a certificate, make sure to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Am I allowed to enroll after the course has already started?,I don't know.,"Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join now, can I still get a certificate?","Yes, but only if you finish with the live cohort: you need to submit your project while submissions are still open and complete the required peer reviews. You can work through the course in self-paced mode, but the certificate is only available through a live cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What do I need to do to qualify for the certificate if I join late?,"If you join late, you can still qualify for the certificate, but you must:

- submit your capstone project while submissions are still open, and
- complete the required peer reviews for your cohort.

Homework is not required.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Is it too late to participate, or can I still submit the project?","Yes, you can still participate **as long as the submission form is still open**. Once it closes, you can no longer submit.

If you’re asking about the capstone project specifically, **you only need to submit one project**. If you miss the first attempt window, you may still be able to catch the **attempt #2** submission window.

If you want, I can also help clarify whether this applies to homework vs. the capstone.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Do I actually need a confirmation email after registering, or can I just start the LLM Zoomcamp right away?","You don’t need to wait for a confirmation email. You’re accepted, and you can start the LLM Zoomcamp right away.

You can also begin learning and submitting homework while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I signed up for the course, does that mean I’m already accepted?","Yes. You don’t need a separate acceptance confirmation — if you registered, you’re already accepted. Registration is just for gauging interest, and you can start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I begin watching the lessons and submitting homework even if I never got any email back?,"Yes. You don’t need to wait for an email back — you’re accepted, and you can start watching the lessons and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is registration for the LLM Zoomcamp used to approve students, or is it just for something else?","Registration is just to gauge interest before the start date. It is not used to approve students, and you don’t need a confirmation email to start learning or submit homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Will my homework submissions be checked against a registration list, or can I submit while the form is open without that?",You can submit while the form is open; it is **not checked against any registration list**. Registration is just to gauge interest.,You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do students join the Office Hours or live workshop if the Zoom link isn’t public?,"Students join via YouTube Live, not the public Zoom link. The Zoom link is only shared with instructors/presenters/TAs.

They can:
- Watch live on the DataTalksClub YouTube channel
- Use the video URL posted in the announcements channel on Telegram and Slack before the session starts
- Ask questions in Slido, whose link is pinned in the live chat

Don’t post questions in the chat, since they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where do I find the live stream link for Office Hours before it starts?,The video URL should be posted in the **announcements channel on Telegram and Slack** before it begins. You can also watch live on the **DataTalksClub YouTube channel**.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I watch the workshop live on YouTube instead of Zoom, and where should I send questions?","Yes — you can watch the workshop live on **YouTube** instead of Zoom.

For questions, **don’t post them in the chat**. Submit them via **Slido**; the Slido link is pinned in the chat when the session is live.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the Zoom URL for live sessions shared with students anywhere, or only with the teaching team?","The Zoom link is only published to the teaching team — instructors, presenters, and TAs. Students access live sessions via YouTube Live, with questions submitted through Slido.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Should I ask questions in the chat during Office Hours, or is there another place to submit them?","Yes—please ask questions in **Slack**, not in the live chat, because questions in chat may be missed if the room is very active.

If there’s a live Office Hours/session, **submit questions via Slido** when it’s live; the link is usually pinned in the chat.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where should I begin if I want to start LLM Zoomcamp from scratch?,"Start with the **LLM Zoomcamp docs**, the **general Zoomcamp logistics docs**, and the **LLM Zoomcamp GitHub repository**:

- https://datatalks.club/docs/courses/llm-zoomcamp/
- https://datatalks.club/docs/courses/zoomcamp-logistics/
- https://github.com/DataTalksClub/llm-zoomcamp

You can begin **whenever you want**. A typical workflow is:

1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit answers on the course platform before the deadline

The current cohort platform is here:
- https://courses.datatalks.club/llm-zoomcamp-2026/

If you want, I can also point you to the exact Module 1 starting materials.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I need to wait for a specific date, or can I start the course anytime?","You can start anytime — you don’t need to wait for a specific date. The videos, GitHub materials, and homework are available, and the deadlines are listed on the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What's the usual weekly routine for watching lessons, doing notebooks, and homework?","A typical weekly workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit answers through the course platform before the deadline  

Homework usually follows the lesson flow, but with a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
Where do I find the deadlines and submit my homework answers?,"Use the **LLM Zoomcamp course management platform** for **deadlines** and **submission**:

- **Platform:** https://courses.datatalks.club/llm-zoomcamp-2026/

You can also find the homework links/instructions in the course GitHub repo, but the platform is the place to track deadlines and submit answers.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Are the homework tasks exactly the same as the lesson exercises, or do they change a bit?","They usually **follow the lesson workflow, but are not exactly the same**. The homework often uses a **different dataset** or asks you to **apply the same idea in a slightly different way**.

If something is unclear, first check the **GitHub homework instructions**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can’t see my name right away?,"Click the **“Jump to your record on the leaderboard”** link — it will take you directly to your entry. If you want to see the name shown there, use **“Edit Course Profile”** to check your display name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
