question,document
Can I still join the course if I found it late?,74eb249bbf
Am I allowed to enroll after the course has already started?,74eb249bbf
"If I join now, can I still get a certificate?",74eb249bbf
What do I need to do to qualify for the certificate if I join late?,74eb249bbf
"Is it too late to participate, or can I still submit the project?",74eb249bbf
"Do I actually need a confirmation email after registering, or can I just start the LLM Zoomcamp right away?",977bf7786c
"If I signed up for the course, does that mean I’m already accepted?",977bf7786c
Can I begin watching the lessons and submitting homework even if I never got any email back?,977bf7786c
"Is registration for the LLM Zoomcamp used to approve students, or is it just for something else?",977bf7786c
"Will my homework submissions be checked against a registration list, or can I submit while the form is open without that?",977bf7786c
How do students join the Office Hours or live workshop if the Zoom link isn’t public?,489dd1c9d9
Where do I find the live stream link for Office Hours before it starts?,489dd1c9d9
"Can I watch the workshop live on YouTube instead of Zoom, and where should I send questions?",489dd1c9d9
"Is the Zoom URL for live sessions shared with students anywhere, or only with the teaching team?",489dd1c9d9
"Should I ask questions in the chat during Office Hours, or is there another place to submit them?",489dd1c9d9
Where should I begin if I want to start LLM Zoomcamp from scratch?,04919992b3
"Do I need to wait for a specific date, or can I start the course anytime?",04919992b3
"What's the usual weekly routine for watching lessons, doing notebooks, and homework?",04919992b3
Where do I find the deadlines and submit my homework answers?,04919992b3
"Are the homework tasks exactly the same as the lesson exercises, or do they change a bit?",04919992b3
How do I find my own entry on the leaderboard if I can’t see my name right away?,c2903069a0
Why do I show up with a random name on the leaderboard instead of my actual name?,c2903069a0
Where can I check what display name I’m using in the course?,c2903069a0
"Can I change the name that appears publicly, like to my Slack or GitHub username?",c2903069a0
What name should I put in the profile fields if I want my certificate to show my real legal name instead of the default one?,c2903069a0
Can I do the course on my own time and still get the certificate?,69d122f12e
"If I study the material in self-paced mode, can I later submit the capstone and reviews to get certified?",69d122f12e
What are the exact requirements for earning the certificate in this course?,69d122f12e
"Do I need to finish all homework, or is the capstone project enough for the certificate?",69d122f12e
Can I prepare the project in self-paced mode and then wait for the next live cohort to submit it?,69d122f12e
Can I still get the course certificate if I skipped the first homework?,9f689c185f
"Do I need to complete all the homework to get certified, or is the Capstone enough?",9f689c185f
"Is homework mandatory for passing the course, or just recommended practice?",9f689c185f
What do I have to pass in order to receive the certificate?,9f689c185f
"If homework isn’t required, does it still affect anything like my leaderboard position?",9f689c185f
Why does the homework content keep changing before the deadline?,96286b4be4
What does it mean when the homework title has [DRAFT] in it?,96286b4be4
How can I tell if a homework is actually ready to submit?,96286b4be4
Is it safe to start the assignment early if it still says [DRAFT]?,96286b4be4
Why does the homework form being open not always mean the homework is final?,96286b4be4
When is the next time this course will run?,bd31146b0e
Do you know the next offering date for the course?,bd31146b0e
What session is the course scheduled for after this one?,bd31146b0e
When should I expect the course to be available again?,bd31146b0e
Is the course coming back in summer 2027?,bd31146b0e
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f
Is there one main place to start if I want the lesson videos?,31456f4b5f
