question,answer_agent,answer_orig,tool_calls,cost,document
Can I still join the course if I found it late?,"Yes — you can still join the course even if you found it late. 

According to the FAQ, you can start whenever you want, and the videos and GitHub materials are available. If you want to receive a certificate, make sure to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""late join course enroll after start join late found it late FAQ""}'}]",0.00112575,74eb249bbf
Am I allowed to enroll after the course has already started?,"Yes — you can start the course whenever you want, even if it has already begun. The materials are available, and you can work through them at your own pace.

One note: homework can only be submitted while the submission form is still open. Once it closes, late submissions aren’t accepted.

","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""enroll after course has already started late enrollment add drop start date""}'}]",0.0011550,74eb249bbf
"If I join now, can I still get a certificate?","Yes — you can still join now, but to get a certificate you must submit your capstone project while the course is still accepting submissions.

A couple of notes:
- Homework is **not required** for the certificate.
- You also need to complete the required **peer reviews**.
- You can work through the material self-paced, but the **project submission + peer review** must happen during a live cohort.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""join now still get a certificate certificate eligibility late enrollment""}'}]",0.0011775,74eb249bbf
What do I need to do to qualify for the certificate if I join late?,"If you join late, you can still participate, but to qualify for the certificate you must:

- finish the course with a **live cohort**
- submit your **capstone project while submissions are still open**
- complete the **required peer reviews**

A few important notes:
- **Homework is not required** for the certificate.
- You can study in self-paced mode, but **project submission and peer review must happen during an active/live cohort**.

If you want, I can also summarize exactly what counts toward the certificate vs. what only affects the leaderboard.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""certificate qualify join late late enrollment requirements attendance assignments FAQ""}'}]",0.00133275,74eb249bbf
"Is it too late to participate, or can I still submit the project?","Yes — if the submission form is still open, you can still submit the project. If the form has already closed, then it’s too late and late submissions aren’t accepted.

If you just discovered the course, you can still join, but to get a certificate you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.","[{'name': 'search', 'arguments': '{""query"":""too late to participate still submit the project late submission project deadline""}'}]",0.0011025,74eb249bbf
"Do I actually need a confirmation email after registering, or can I just start the LLM Zoomcamp right away?","You don’t need to wait for a confirmation email. The FAQ says you’re accepted, and you can start learning and submitting homework right away while the form is open, even without registering.

Registration is mainly just to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""confirmation email after registering start LLM Zoomcamp right away registration email""}'}]",0.0012300,977bf7786c
"If I signed up for the course, does that mean I’m already accepted?","Yes — if you registered for the course, you’re considered accepted. The registration form is just for gauging interest, and you can start learning and submitting homework while it’s open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""signed up for the course accepted enrolled registration acceptance admission FAQ""}'}]",0.001140,977bf7786c
Can I begin watching the lessons and submitting homework even if I never got any email back?,"Yes. You don’t need to wait for a confirmation email.

According to the FAQ, if you registered, you’re accepted, and you can start learning and submitting homework while the form is open even without any email response. Registration is just to gauge interest before the course starts, and homework submissions are not checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""begin watching lessons and submitting homework without email back no response email enrollment access""}'}]",0.0012795,977bf7786c
"Is registration for the LLM Zoomcamp used to approve students, or is it just for something else?","Registration is **not** used to approve students. It’s just to **gauge interest before the start date**.

According to the FAQ, you’re already accepted, and you can start learning and submitting homework while the form is open, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""LLM Zoomcamp registration approve students or just for something else""}'}]",0.0014835,977bf7786c
"Will my homework submissions be checked against a registration list, or can I submit while the form is open without that?","Yes — you can submit while the form is open, and it is **not checked against any registration list**. Registration is just to gauge interest, so you don’t need to be on a registered list to submit homework.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,"[{'name': 'search', 'arguments': '{""query"":""homework submissions registration list form open checked against registration list submit while form is open""}'}]",0.00109425,977bf7786c
How do students join the Office Hours or live workshop if the Zoom link isn’t public?,"Students don’t join via the public Zoom link.

For Office Hours or live/workshop sessions:
- The **Zoom link is only shared with instructors/presenters/TAs**
- **Students watch on YouTube Live**
- Questions should be sent via **Slido**; the link is pinned in the chat when live
- The session video URL is also posted in the **announcements channel on Telegram/Slack** before it starts
- You can also watch on the **DataTalksClub YouTube channel**

Also, avoid posting questions in the live chat, since they may get missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""Office Hours live workshop Zoom link not public how do students join""}'}]",0.0014295,489dd1c9d9
Where do I find the live stream link for Office Hours before it starts?,"The Office Hours live stream link is usually posted in the **announcements channel on Telegram and Slack before it begins**.  

You can also watch it live on the **DataTalksClub YouTube channel**. The Zoom link itself is only for instructors/presenters/TAs, not students.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""live stream link Office Hours before it starts""}'}]",0.0012405,489dd1c9d9
"Can I watch the workshop live on YouTube instead of Zoom, and where should I send questions?","Yes — students can watch the live workshop on **YouTube Live** instead of Zoom. The **Zoom link is only for instructors/presenters/TAs**.

For questions, submit them via **Slido** — the link is usually **pinned in the chat when the session is live**.  
Also, the live video link is typically posted in the **announcements channel on Telegram and Slack** before the session starts.

Avoid posting questions directly in chat, since they may get missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""watch workshop live on YouTube instead of Zoom send questions where should I send questions""}'}]",0.00174825,489dd1c9d9
"Is the Zoom URL for live sessions shared with students anywhere, or only with the teaching team?","The Zoom link is **only published to instructors/presenters/TAs** — not shared directly with students.

Students join via **YouTube Live**, and questions are submitted through **Slido**. The live/video link is usually posted in the **announcements channel on Telegram and Slack** before the session starts.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""Zoom URL live sessions shared with students teaching team only""}'}]",0.00123375,489dd1c9d9
"Should I ask questions in the chat during Office Hours, or is there another place to submit them?","For live Office Hours, **don’t post questions in the chat** — they can be missed.

Instead, students are asked to submit questions via **Slido** during the session, and the **link is pinned in the chat when live**.

If you’re asking generally about course help outside live sessions, use **Slack** and follow the course’s question guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{'name': 'search', 'arguments': '{""query"":""Office Hours questions chat another place submit them FAQ""}'}]",0.0014820,489dd1c9d9
Where should I begin if I want to start LLM Zoomcamp from scratch?,"If you’re starting LLM Zoomcamp from scratch, begin here:

1. Read the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
2. Check the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)
3. Open the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)

A good workflow is:
- watch the lesson videos,
- go through the notebooks/code,
- read the homework instructions on GitHub,
- submit your answers on the course platform before the deadline.

You can start anytime, and the current deadlines/progress are on the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

If you want, I can also give you a “first week plan” for starting the course.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""start LLM Zoomcamp from scratch begin where should I begin first steps prerequisites FAQ""}'}]",0.0018075,04919992b3
"Do I need to wait for a specific date, or can I start the course anytime?","You can start anytime — there’s no need to wait for a specific date.

The FAQ says the course materials are available and you can begin whenever you want. Just note that homework should be submitted while the submission form is open, and deadlines are listed in the course management platform.

","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{'name': 'search', 'arguments': '{""query"":""start the course anytime specific date wait enrollment start date""}'}]",0.0013665,04919992b3
